epoch,train_loss,train_macro_f1,val_loss,val_macro_f1,lr,seconds
1,1.9313,0.1598,1.4870,0.1602,1.00e-04,70.4
2,1.3335,0.3727,1.1172,0.3901,9.98e-05,53.0
3,1.0398,0.4762,1.1426,0.4255,9.94e-05,53.1
4,0.9180,0.5070,0.8232,0.5363,9.86e-05,53.7
5,0.7720,0.5594,0.7998,0.5709,9.76e-05,54.1
6,0.5787,0.6572,0.8463,0.6289,9.62e-05,53.8
7,0.5053,0.6891,0.8242,0.6053,9.46e-05,53.4
8,0.4384,0.7439,0.6081,0.6697,9.26e-05,53.5
9,0.3864,0.7683,0.7055,0.6117,9.05e-05,53.0
10,0.2713,0.8325,0.7892,0.6771,8.80e-05,53.5
11,0.2934,0.8037,0.8260,0.6242,8.54e-05,52.9
12,0.2088,0.8496,0.7713,0.6706,8.25e-05,53.2
13,0.2421,0.8223,0.6796,0.7034,7.94e-05,53.8
14,0.1580,0.8875,0.7811,0.6865,7.61e-05,53.1
15,0.1405,0.9031,0.7421,0.7135,7.27e-05,53.7
16,0.1286,0.9150,0.7578,0.7060,6.91e-05,52.6
17,0.0813,0.9378,0.7948,0.7238,6.55e-05,52.9
18,0.1022,0.9229,0.7956,0.7242,6.17e-05,53.2
19,0.0698,0.9444,0.8060,0.7442,5.78e-05,52.6
20,0.0700,0.9500,0.7904,0.7541,5.39e-05,52.7
21,0.0374,0.9672,0.9256,0.7604,5.00e-05,53.0
22,0.0268,0.9785,0.9824,0.7343,4.61e-05,53.5
23,0.0251,0.9803,0.9484,0.7308,4.22e-05,53.1
24,0.0267,0.9810,1.0565,0.7208,3.83e-05,53.0
25,0.0342,0.9763,0.9930,0.7192,3.45e-05,53.6
26,0.0276,0.9771,1.0084,0.7453,3.09e-05,52.5
27,0.0187,0.9887,1.0471,0.7454,2.73e-05,51.4
28,0.0107,0.9929,1.0556,0.7174,2.39e-05,50.9
