epoch,train_loss,train_macro_f1,val_loss,val_macro_f1,lr,seconds
1,2.0408,0.2876,1.0825,0.4900,3.00e-04,65.9
2,0.8486,0.5433,0.9387,0.5300,3.00e-04,50.3
3,0.6466,0.6368,0.9499,0.5442,2.98e-04,50.3
4,0.4795,0.7018,0.8049,0.6686,2.96e-04,50.8
5,0.3930,0.7534,0.8242,0.6591,2.93e-04,50.1
6,0.3349,0.7793,0.9530,0.5889,2.89e-04,52.1
7,0.2896,0.8104,0.7998,0.6584,2.84e-04,52.4
8,0.2146,0.8503,0.8302,0.6993,2.78e-04,51.3
9,0.2032,0.8793,0.9196,0.6784,2.71e-04,51.6
10,0.1556,0.8935,0.8757,0.7014,2.64e-04,51.3
11,0.1506,0.8990,0.8589,0.7004,2.56e-04,52.2
12,0.1331,0.9098,0.8473,0.6525,2.47e-04,51.7
13,0.0885,0.9388,0.9619,0.7022,2.38e-04,52.0
14,0.0932,0.9345,0.9582,0.6693,2.28e-04,51.2
15,0.0906,0.9212,1.0830,0.6608,2.18e-04,51.7
16,0.0950,0.9082,1.0860,0.6551,2.07e-04,52.6
17,0.0888,0.9406,1.0305,0.6539,1.96e-04,52.5
18,0.0635,0.9430,1.0414,0.6470,1.85e-04,52.5
19,0.0395,0.9646,1.1016,0.6554,1.73e-04,51.4
20,0.0350,0.9740,1.1031,0.6924,1.62e-04,51.0
