epoch,train_loss,train_macro_f1,val_loss,val_macro_f1,lr,seconds
1,1.3811,0.3538,0.8718,0.4847,1.00e-04,58.1
2,0.8741,0.5418,0.8385,0.5446,9.98e-05,54.4
3,0.7058,0.5916,0.7220,0.6134,9.94e-05,54.9
4,0.5813,0.6534,0.7651,0.5804,9.86e-05,54.9
5,0.4771,0.7210,0.6498,0.6678,9.76e-05,54.9
6,0.4028,0.7603,0.6004,0.7166,9.62e-05,54.6
7,0.3536,0.7970,0.6733,0.6677,9.46e-05,54.1
8,0.3243,0.7932,0.7143,0.7115,9.26e-05,54.4
9,0.3048,0.8006,0.6650,0.7233,9.05e-05,54.4
10,0.2720,0.8158,0.8019,0.6291,8.80e-05,54.5
11,0.2329,0.8437,0.8060,0.6457,8.54e-05,54.4
12,0.2555,0.8288,0.6041,0.7250,8.25e-05,54.2
13,0.1922,0.8743,0.6534,0.7074,7.94e-05,54.9
14,0.1695,0.8855,0.6930,0.7165,7.61e-05,54.2
15,0.1406,0.9018,0.8398,0.6911,7.27e-05,54.7
16,0.1565,0.8987,0.7100,0.7694,6.91e-05,55.5
17,0.1251,0.9180,0.7552,0.7413,6.55e-05,54.7
18,0.0931,0.9314,0.7718,0.7578,6.17e-05,54.3
19,0.1328,0.8869,0.6842,0.7756,5.78e-05,54.3
20,0.0855,0.9293,0.7051,0.7537,5.39e-05,54.6
21,0.0725,0.9509,0.7353,0.7687,5.00e-05,55.3
22,0.0875,0.9122,0.7202,0.7509,4.61e-05,54.4
23,0.0633,0.9357,0.7892,0.7470,4.22e-05,54.0
24,0.0647,0.9543,0.8932,0.7438,3.83e-05,54.0
25,0.0482,0.9626,0.9301,0.7462,3.45e-05,54.5
26,0.0409,0.9711,0.7957,0.7490,3.09e-05,53.8
