epoch,train_loss,train_macro_f1,val_loss,val_macro_f1,lr,seconds
1,1.8431,0.1966,1.5873,0.2117,1.00e-04,77.8
2,1.3286,0.3511,0.9460,0.5194,9.98e-05,75.2
3,1.0968,0.4409,0.9387,0.5074,9.94e-05,74.6
4,0.9605,0.4865,0.9049,0.5028,9.86e-05,74.5
5,0.9378,0.4997,0.9399,0.4921,9.76e-05,73.7
6,0.8412,0.5403,0.8439,0.6171,9.62e-05,74.4
7,0.7765,0.5773,0.9942,0.5295,9.46e-05,74.0
8,0.7317,0.5722,0.8266,0.5413,9.26e-05,73.8
9,0.6002,0.6624,0.7643,0.5469,9.05e-05,73.8
10,0.6286,0.6330,0.7090,0.6220,8.80e-05,74.0
11,0.6251,0.6203,0.7548,0.6137,8.54e-05,74.0
12,0.5651,0.6681,0.6952,0.6294,8.25e-05,73.6
13,0.5131,0.7125,0.8294,0.5689,7.94e-05,73.4
14,0.4129,0.7521,0.7671,0.6279,7.61e-05,73.8
15,0.4160,0.7499,0.9238,0.5804,7.27e-05,74.3
16,0.4232,0.7202,0.7510,0.6659,6.91e-05,73.1
17,0.3767,0.7601,0.9319,0.5804,6.55e-05,73.7
18,0.3078,0.8072,0.9307,0.6144,6.17e-05,73.9
19,0.3221,0.7949,0.7842,0.6208,5.78e-05,73.9
20,0.2419,0.8401,0.7551,0.6349,5.39e-05,73.4
21,0.2432,0.8398,0.7801,0.6357,5.00e-05,73.1
22,0.2159,0.8337,0.9863,0.6101,4.61e-05,72.7
23,0.1709,0.8772,0.8488,0.6499,4.22e-05,72.6
