run,split,score,err_auroc,err_auprc,aurc
convnext_tiny_seed42,external,neg_confidence,0.7031,0.6204,0.2885
convnext_tiny_seed42,external,predictive_entropy,0.7065,0.6305,0.2874
convnext_tiny_seed42,external,expected_entropy,0.7065,0.6305,0.2874
convnext_tiny_seed42,external,mutual_information,0.7022,0.6208,0.289
convnext_tiny_seed42,external,variance,0.6996,0.6126,0.2907
efficientnet_b3_seed42,external,neg_confidence,0.7241,0.6382,0.2665
efficientnet_b3_seed42,external,predictive_entropy,0.7279,0.6454,0.2651
efficientnet_b3_seed42,external,expected_entropy,0.7279,0.6454,0.2651
efficientnet_b3_seed42,external,mutual_information,0.5006,0.4458,0.4369
efficientnet_b3_seed42,external,variance,0.4647,0.405,0.4371
swin_tiny_seed42,external,neg_confidence,0.7152,0.6321,0.2754
swin_tiny_seed42,external,predictive_entropy,0.7201,0.6419,0.2733
swin_tiny_seed42,external,expected_entropy,0.7201,0.6418,0.2733
swin_tiny_seed42,external,mutual_information,0.7136,0.6275,0.276
swin_tiny_seed42,external,variance,0.7086,0.6148,0.2782
vit_b16_seed42,external,neg_confidence,0.621,0.6076,0.397
vit_b16_seed42,external,predictive_entropy,0.6267,0.613,0.3942
vit_b16_seed42,external,expected_entropy,0.6263,0.6126,0.3944
vit_b16_seed42,external,mutual_information,0.6184,0.5875,0.3955
vit_b16_seed42,external,variance,0.6054,0.5698,0.4021
