image_id,target,pred,correct,confidence,predictive_entropy,expected_entropy,mutual_information,variance
ISIC_0000000,5,5,1,0.9997402,0.002642443,0.0026213946,2.1048356e-05,1.7661509e-09
ISIC_0000001,5,5,1,0.99870384,0.010160975,0.010113462,4.7513284e-05,3.0358134e-08
ISIC_0000002,4,4,1,0.9464724,0.24403158,0.239922,0.0041095763,8.553488e-05
ISIC_0000003,5,5,1,0.9870437,0.07799769,0.07703003,0.00096765906,5.6572726e-06
ISIC_0000004,4,0,0,0.5587579,0.8141731,0.7946684,0.019504726,0.0023931253
ISIC_0000006,5,5,1,0.99998057,0.00023698791,0.0002349764,2.0115112e-06,2.4278825e-11
ISIC_0000007,5,5,1,0.99999595,5.8102312e-05,5.7657682e-05,4.4463013e-07,5.743286e-13
ISIC_0000008,5,4,0,0.86945385,0.40868863,0.40501603,0.0036725998,0.00022695705
ISIC_0000009,5,5,1,0.9996662,0.0031046052,0.003085338,1.9267201e-05,3.5251515e-09
ISIC_0000010,5,5,1,0.9999679,0.00036747335,0.00036451538,2.9579678e-06,5.58282e-11
ISIC_0000011,5,5,1,0.9999886,0.00014801962,0.00014693433,1.0852964e-06,4.293122e-12
ISIC_0000012,5,5,1,0.99887073,0.009443494,0.009381187,6.230641e-05,3.3102292e-08
ISIC_0000013,4,4,1,0.7672582,0.64680666,0.6413872,0.005419433,0.00040312763
ISIC_0000014,5,2,0,0.9873533,0.06834975,0.06741594,0.00093381107,7.0085985e-06
ISIC_0000015,5,5,1,0.9999592,0.000479942,0.0004761744,3.7676073e-06,6.148552e-11
ISIC_0000016,5,5,1,0.99639684,0.024603494,0.024277223,0.00032627024,6.185709e-07
ISIC_0000017_downsampled,5,5,1,0.9934289,0.039681487,0.039380264,0.00030122325,1.1534017e-06
ISIC_0000018_downsampled,5,5,1,0.99629945,0.025141472,0.024877448,0.00026402436,5.396068e-07
ISIC_0000019_downsampled,5,5,1,0.9981467,0.013852953,0.013794674,5.8279373e-05,5.546642e-08
ISIC_0000020_downsampled,5,5,1,0.9070655,0.3115449,0.30969208,0.0018528104,9.020402e-05
ISIC_0000021_downsampled,5,5,1,0.7257061,0.6391065,0.63215244,0.006954074,0.0007254582
ISIC_0000022_downsampled,4,5,0,0.8797565,0.37640354,0.36942565,0.006977886,0.00044813845
ISIC_0000023_downsampled,5,5,1,0.9954495,0.029183181,0.028839985,0.0003431961,9.050185e-07
ISIC_0000024_downsampled,5,2,0,0.9263661,0.31947848,0.31645647,0.003022015,7.897189e-05
ISIC_0000025_downsampled,5,5,1,0.87841856,0.4275813,0.4218283,0.0057530105,0.00030214788
ISIC_0000026_downsampled,4,5,0,0.9709218,0.15036525,0.14927775,0.0010875016,1.2061326e-05
ISIC_0000027_downsampled,5,5,1,0.99297637,0.04244578,0.04183115,0.0006146282,3.1463278e-06
ISIC_0000028_downsampled,5,5,1,0.9993805,0.0054112435,0.005359163,5.208049e-05,1.7148547e-08
ISIC_0000029_downsampled,4,4,1,0.9211771,0.2780376,0.2734045,0.004633099,0.00019522403
ISIC_0000030_downsampled,4,4,1,0.9999968,4.722803e-05,4.7016514e-05,2.1151573e-07,2.7094432e-13
ISIC_0000031_downsampled,4,4,1,0.9973177,0.019228036,0.019043645,0.0001843907,2.6993004e-07
ISIC_0000032_downsampled,5,5,1,0.9806497,0.09968096,0.09823357,0.001447387,1.6348104e-05
ISIC_0000034_downsampled,5,5,1,0.99772125,0.016681472,0.016508209,0.00017326325,2.2524026e-07
ISIC_0000035_downsampled,4,4,1,0.9989585,0.0088194655,0.0087527875,6.667804e-05,2.8973385e-08
ISIC_0000036_downsampled,4,2,0,0.9985899,0.01159098,0.011496083,9.4897114e-05,5.2789936e-08
ISIC_0000037_downsampled,5,5,1,0.5731458,0.72311634,0.71264046,0.010475874,0.0013765873
ISIC_0000038_downsampled,5,2,0,0.73188746,0.63471115,0.61940557,0.015305579,0.0016088594
ISIC_0000039_downsampled,5,5,1,0.99901736,0.008507684,0.008420456,8.722767e-05,3.5767105e-08
ISIC_0000040_downsampled,4,2,0,0.989299,0.060489975,0.059870183,0.00061979145,3.8477797e-06
ISIC_0000041_downsampled,5,2,0,0.91621244,0.28804904,0.28232682,0.0057222247,0.00029831412
ISIC_0000042_downsampled,5,5,1,0.8626615,0.49502543,0.48741624,0.0076091886,0.000317362
ISIC_0000043_downsampled,4,5,0,0.64429945,0.65120816,0.6360491,0.0151590705,0.0019540272
ISIC_0000044_downsampled,5,5,1,0.8722035,0.38341355,0.37676984,0.0066437125,0.00042251614
ISIC_0000045_downsampled,5,5,1,0.99979085,0.001990466,0.001967352,2.311403e-05,3.25014e-09
ISIC_0000046_downsampled,4,2,0,0.99973404,0.0024747294,0.0024600883,1.4641089e-05,2.3589517e-09
ISIC_0000047_downsampled,5,5,1,0.8749796,0.38206202,0.37661928,0.0054427385,0.0003542324
ISIC_0000048_downsampled,5,5,1,0.9999303,0.0007846882,0.0007791458,5.542417e-06,1.6981537e-10
ISIC_0000049_downsampled,4,4,1,0.99282473,0.04348798,0.043088403,0.00039957836,1.7820136e-06
ISIC_0000050_downsampled,5,5,1,0.69921476,0.64764154,0.6393977,0.008243859,0.0009518742
ISIC_0000051_downsampled,5,5,1,0.80701333,0.4983952,0.492289,0.006106198,0.0005253795
ISIC_0000052_downsampled,5,4,0,0.5740921,0.68523014,0.6752431,0.009987056,0.0013902376
