image_id,target,pred,correct,confidence,predictive_entropy,expected_entropy,mutual_information,variance
ISIC_0000000,5,5,1,0.9999274,0.00080036756,0.00080060586,-2.3830216e-07,8.120489e-15
ISIC_0000001,5,5,1,0.99999994,1.816538e-06,1.8761423e-06,-5.9604304e-08,5.0753055e-16
ISIC_0000002,4,5,0,0.9331092,0.24610397,0.2461041,-1.3411045e-07,3.172067e-17
ISIC_0000003,5,5,1,0.9999715,0.00032573685,0.00032549826,2.385932e-07,8.120489e-15
ISIC_0000004,4,5,0,0.9889942,0.072442204,0.07244243,-2.2351742e-07,8.120683e-15
ISIC_0000006,5,5,1,0.9935346,0.039510638,0.039510477,1.6018748e-07,4.5677747e-15
ISIC_0000007,5,5,1,0.9989466,0.008287354,0.008287593,-2.3841858e-07,8.120506e-15
ISIC_0000008,5,5,1,0.99787575,0.015963456,0.015963279,1.7695129e-07,4.5677836e-15
ISIC_0000009,5,5,1,0.9999823,0.00022703574,0.00022733364,-2.979068e-07,1.2688263e-14
ISIC_0000010,5,5,1,0.9937896,0.037803672,0.03780366,1.1175871e-08,6.696866e-29
ISIC_0000011,5,5,1,0.9996337,0.0034456453,0.0034458241,-1.7881393e-07,4.567775e-15
ISIC_0000012,5,5,1,0.9892732,0.060185555,0.060185228,3.2782555e-07,1.26887585e-14
ISIC_0000013,4,5,0,0.9444218,0.2146312,0.21463118,1.4901161e-08,4.9563527e-17
ISIC_0000014,5,2,0,0.88300765,0.37743923,0.37743917,5.9604645e-08,4.6946572e-15
ISIC_0000015,5,5,1,0.9995712,0.003760429,0.0037602498,1.792796e-07,4.567775e-15
ISIC_0000016,5,5,1,0.9977799,0.016814966,0.01681485,1.15484e-07,2.0301415e-15
ISIC_0000017_downsampled,5,5,1,0.99836355,0.01229785,0.0122977225,1.2759119e-07,2.0301531e-15
ISIC_0000018_downsampled,5,5,1,0.98381984,0.08895372,0.0889539,-1.7881393e-07,4.569766e-15
ISIC_0000019_downsampled,5,5,1,0.9999026,0.0010002048,0.0010005626,-3.5774428e-07,1.8271099e-14
ISIC_0000020_downsampled,5,5,1,0.9829732,0.086461,0.08646081,1.937151e-07,8.124949e-15
ISIC_0000021_downsampled,5,5,1,0.9988536,0.008953449,0.008953628,-1.7881393e-07,4.5678056e-15
ISIC_0000022_downsampled,4,5,0,0.9996037,0.0037039595,0.0037037209,2.386514e-07,8.120489e-15
ISIC_0000023_downsampled,5,5,1,0.99984515,0.001649665,0.0016499042,-2.392335e-07,8.120489e-15
