image_id,target,pred,correct,confidence,predictive_entropy,expected_entropy,mutual_information,variance
ISIC_0000000,5,5,1,0.9986688,0.01142828,0.011201073,0.00022720639,1.0436175e-07
ISIC_0000001,5,5,1,0.9978966,0.01511033,0.014450984,0.00065934565,1.0125615e-06
ISIC_0000002,4,4,1,0.9577926,0.20600963,0.20025826,0.0057513714,9.757523e-05
ISIC_0000003,5,5,1,0.96974456,0.14275745,0.13881283,0.0039446205,6.6138244e-05
ISIC_0000004,4,5,0,0.9501114,0.23622154,0.22868197,0.0075395703,0.000167797
ISIC_0000006,5,5,1,0.9992293,0.006647212,0.006498936,0.00014827587,6.240294e-08
ISIC_0000007,5,5,1,0.9998168,0.0017878683,0.0017558861,3.19822e-05,3.565179e-09
ISIC_0000008,5,4,0,0.85159177,0.4213895,0.40872315,0.012666345,0.0010106425
ISIC_0000009,5,5,1,0.9996454,0.0034213956,0.00335032,7.107551e-05,1.1401894e-08
ISIC_0000010,5,5,1,0.86801094,0.39514783,0.37864247,0.01650536,0.0012053258
ISIC_0000011,5,5,1,0.8611768,0.41037256,0.39919302,0.011179537,0.00078621675
ISIC_0000012,5,5,1,0.9966323,0.024864202,0.024321236,0.00054296665,8.451047e-07
ISIC_0000013,4,4,1,0.99475384,0.03307566,0.032044273,0.0010313876,3.4298305e-06
ISIC_0000014,5,2,0,0.74022466,0.7306295,0.7106772,0.019952297,0.001509172
ISIC_0000015,5,5,1,0.972249,0.13870473,0.13390699,0.004797742,7.433374e-05
ISIC_0000016,5,5,1,0.9761874,0.12631983,0.122095115,0.00422471,4.571261e-05
ISIC_0000017_downsampled,5,5,1,0.9917278,0.053131916,0.051302053,0.0018298626,6.999772e-06
ISIC_0000018_downsampled,5,5,1,0.9637902,0.15907387,0.15406218,0.0050116926,9.776227e-05
ISIC_0000019_downsampled,5,5,1,0.99783814,0.016098788,0.015598362,0.0005004257,5.3104475e-07
ISIC_0000020_downsampled,5,4,0,0.794989,0.51021034,0.48894843,0.0212619,0.0019733047
ISIC_0000021_downsampled,5,5,1,0.899854,0.3412873,0.3271155,0.014171809,0.0007856007
ISIC_0000022_downsampled,4,5,0,0.8649675,0.4429962,0.4287466,0.014249593,0.00084439357
ISIC_0000023_downsampled,5,5,1,0.73370534,0.59186965,0.56684524,0.025024414,0.0027699922
ISIC_0000024_downsampled,5,2,0,0.86585826,0.52058977,0.5096452,0.010944545,0.00038694814
ISIC_0000025_downsampled,5,4,0,0.8235556,0.6075232,0.599522,0.008001208,0.00040252955
ISIC_0000026_downsampled,4,2,0,0.8819665,0.39847192,0.38819396,0.010277957,0.0005141763
ISIC_0000027_downsampled,5,5,1,0.9994614,0.0048473855,0.004731789,0.00011559622,3.8492313e-08
ISIC_0000028_downsampled,5,5,1,0.99853057,0.01111702,0.010649713,0.00046730693,5.7484914e-07
ISIC_0000029_downsampled,4,4,1,0.96913743,0.13780628,0.1319496,0.005856678,0.00011410834
ISIC_0000030_downsampled,4,4,1,0.99933726,0.0057976437,0.005683064,0.000114579685,4.134438e-08
ISIC_0000031_downsampled,4,4,1,0.999851,0.0016683944,0.0016440649,2.4329522e-05,8.9504953e-10
ISIC_0000032_downsampled,5,5,1,0.9960264,0.028443413,0.028063519,0.00037989393,6.057816e-07
ISIC_0000034_downsampled,5,5,1,0.99210507,0.046568003,0.045711003,0.0008569993,4.053621e-06
ISIC_0000035_downsampled,4,4,1,0.7928142,0.6234984,0.60119766,0.02230072,0.0016383744
ISIC_0000036_downsampled,4,2,0,0.9844363,0.08521292,0.082691886,0.002521038,1.916193e-05
ISIC_0000037_downsampled,5,5,1,0.5106914,0.85105324,0.8225331,0.028520167,0.0034198312
ISIC_0000038_downsampled,5,5,1,0.8372284,0.4981165,0.47678953,0.02132696,0.0014691615
ISIC_0000039_downsampled,5,5,1,0.99966353,0.003276044,0.0032157518,6.0292194e-05,7.640306e-09
ISIC_0000040_downsampled,4,5,0,0.6433121,0.693629,0.6596009,0.034028113,0.0042100777
ISIC_0000041_downsampled,5,5,1,0.789888,0.5145547,0.49321032,0.021344364,0.0019949414
ISIC_0000042_downsampled,5,5,1,0.90828896,0.31829455,0.3072216,0.0110729635,0.0005232714
ISIC_0000043_downsampled,4,5,0,0.87458867,0.38790542,0.36887598,0.019029438,0.0013664184
ISIC_0000044_downsampled,5,4,0,0.5948477,0.675678,0.618439,0.057238996,0.0075853243
ISIC_0000045_downsampled,5,5,1,0.99739915,0.018287806,0.01783644,0.0004513655,6.8880854e-07
ISIC_0000046_downsampled,4,2,0,0.97042257,0.13406074,0.1305436,0.003517136,5.9020476e-05
ISIC_0000047_downsampled,5,5,1,0.98266166,0.0918948,0.08934592,0.0025488809,2.4242812e-05
ISIC_0000048_downsampled,5,5,1,0.9988533,0.008955954,0.008679921,0.00027603284,1.9359787e-07
ISIC_0000049_downsampled,4,4,1,0.7295679,0.6984774,0.67967355,0.018803835,0.0016938042
ISIC_0000050_downsampled,5,2,0,0.5016866,0.7576008,0.71962714,0.037973642,0.0050682025
ISIC_0000051_downsampled,5,5,1,0.6455775,0.65696996,0.6404492,0.016520739,0.002122734
ISIC_0000052_downsampled,5,5,1,0.9718874,0.12821001,0.1236653,0.004544705,7.8635334e-05
ISIC_0000053_downsampled,5,4,0,0.96792823,0.14395986,0.14001742,0.003942445,7.102441e-05
ISIC_0000054_downsampled,4,5,0,0.86569536,0.40525392,0.39298528,0.012268633,0.000845207
ISIC_0000055_downsampled,5,5,1,0.9953826,0.030966409,0.030115144,0.0008512642,2.1280107e-06
ISIC_0000056_downsampled,4,5,0,0.5200571,0.92014,0.900911,0.019229054,0.002141559
ISIC_0000057_downsampled,5,5,1,0.936606,0.23675731,0.22862624,0.008131072,0.00031198488
ISIC_0000058_downsampled,5,5,1,0.8269585,0.5667397,0.5517451,0.014994562,0.0009226293
ISIC_0000059_downsampled,5,5,1,0.99663866,0.02525406,0.024553252,0.0007008072,9.4613307e-07
ISIC_0000060_downsampled,5,5,1,0.997603,0.018442502,0.018180348,0.00026215427,2.7144768e-07
ISIC_0000061_downsampled,5,5,1,0.64350057,0.65284795,0.6345939,0.018254042,0.0023784216
ISIC_0000062_downsampled,5,5,1,0.511078,0.6943001,0.6633189,0.030981243,0.0043400927
ISIC_0000063_downsampled,5,5,1,0.6843758,0.6250071,0.6040436,0.02096349,0.002578065
ISIC_0000064_downsampled,5,5,1,0.64681035,0.6495651,0.5900546,0.05951053,0.007594828
ISIC_0000065_downsampled,5,5,1,0.9989192,0.008490941,0.008229663,0.0002612779,1.930136e-07
ISIC_0000066,5,5,1,0.6652464,0.6434888,0.62286496,0.020623863,0.002513249
ISIC_0000067,5,2,0,0.86125743,0.47648898,0.46353042,0.012958556,0.0006697239
ISIC_0000068,5,5,1,0.9744236,0.119150735,0.11695471,0.0021960288,3.294362e-05
ISIC_0000069,5,5,1,0.9983875,0.01252581,0.012158407,0.00036740303,4.1545974e-07
ISIC_0000071,5,5,1,0.99963754,0.0037330776,0.0036674514,6.562611e-05,7.367489e-09
ISIC_0000072,5,4,0,0.7513206,0.7075055,0.68628675,0.021218777,0.0016131605
ISIC_0000073,5,5,1,0.99864674,0.010980734,0.010714468,0.00026626606,2.1594063e-07
ISIC_0000074,4,4,1,0.6181123,0.89650553,0.85855275,0.03795278,0.0035023391
ISIC_0000075,5,5,1,0.9298608,0.25837055,0.24533963,0.013030916,0.0005503236
ISIC_0000077_downsampled,4,2,0,0.9775899,0.11741466,0.115445584,0.0019690767,1.9444991e-05
ISIC_0000078_downsampled,4,5,0,0.9658854,0.15706746,0.15272102,0.004346445,9.138458e-05
ISIC_0000079_downsampled,5,2,0,0.8679231,0.40543246,0.3961007,0.009331763,0.00059278175
ISIC_0000080_downsampled,5,5,1,0.8707072,0.3972591,0.38385817,0.013400912,0.00084428146
ISIC_0000081_downsampled,5,5,1,0.94646704,0.22130851,0.20926781,0.0120407045,0.00037019077
ISIC_0000082_downsampled,5,5,1,0.9979872,0.014581438,0.014222539,0.00035889912,4.903692e-07
ISIC_0000085_downsampled,5,5,1,0.83637846,0.45285764,0.44087285,0.011984795,0.0009632447
ISIC_0000086_downsampled,5,5,1,0.91778344,0.28446397,0.27317578,0.011288196,0.0005535815
ISIC_0000087_downsampled,5,5,1,0.82691723,0.50418884,0.47855708,0.025631756,0.0020206051
ISIC_0000088_downsampled,5,5,1,0.8772358,0.3726225,0.36312675,0.009495735,0.00055867
ISIC_0000089_downsampled,5,4,0,0.90432185,0.31676698,0.30840054,0.008366436,0.0004153198
ISIC_0000091_downsampled,5,5,1,0.9695193,0.16447735,0.16140442,0.0030729324,3.099385e-05
ISIC_0000092_downsampled,5,5,1,0.999728,0.0026931905,0.0026534034,3.978703e-05,4.2801402e-09
ISIC_0000093_downsampled,5,5,1,0.9961475,0.025311843,0.024188215,0.0011236276,3.644988e-06
ISIC_0000094_downsampled,5,5,1,0.98563516,0.07591154,0.07230066,0.0036108792,3.1230913e-05
ISIC_0000095_downsampled,5,4,0,0.5750736,0.76248807,0.7466443,0.015843749,0.0019517669
ISIC_0000096_downsampled,5,5,1,0.99976176,0.0024261957,0.0023971484,2.9047253e-05,2.5477145e-09
ISIC_0000097_downsampled,5,5,1,0.9995397,0.0043274504,0.0042300234,9.742705e-05,2.0061654e-08
ISIC_0000098_downsampled,5,5,1,0.99980485,0.0019273731,0.0018823281,4.5045046e-05,4.885784e-09
ISIC_0000099_downsampled,5,5,1,0.80467814,0.50204104,0.46887863,0.033162415,0.003022473
ISIC_0000100_downsampled,5,5,1,0.97319925,0.1253252,0.119767256,0.005557947,8.962454e-05
ISIC_0000101_downsampled,5,2,0,0.9976331,0.017512621,0.017134616,0.0003780052,4.956515e-07
ISIC_0000102_downsampled,5,5,1,0.92059714,0.28165773,0.27628464,0.0053730905,0.00021113966
ISIC_0000103_downsampled,5,4,0,0.9950801,0.031085812,0.03035007,0.0007357411,2.412086e-06
ISIC_0000104_downsampled,5,5,1,0.65732056,0.64435685,0.6061437,0.038213134,0.004891952
ISIC_0000105_downsampled,5,5,1,0.75271195,0.5600519,0.5378163,0.022235632,0.0024296194
ISIC_0000107_downsampled,5,5,1,0.8410602,0.43830448,0.41851026,0.019794226,0.0016814125
ISIC_0000108_downsampled,5,5,1,0.654816,0.64538866,0.61374414,0.031644523,0.0040120287
ISIC_0000109_downsampled,5,4,0,0.91761696,0.32044736,0.31355846,0.006888896,0.00025499714
ISIC_0000110_downsampled,5,5,1,0.99934196,0.005926307,0.0058007413,0.00012556557,3.844541e-08
ISIC_0000111_downsampled,5,5,1,0.9991695,0.0071881623,0.006992779,0.0001953831,8.455201e-08
ISIC_0000112_downsampled,5,5,1,0.9994667,0.0048212004,0.0047363546,8.4845815e-05,2.17873e-08
ISIC_0000113_downsampled,5,5,1,0.99952334,0.004873812,0.0047906255,8.3186664e-05,1.0565243e-08
ISIC_0000114_downsampled,5,5,1,0.99952316,0.0041615907,0.0039770575,0.00018453319,6.2250486e-08
ISIC_0000115_downsampled,5,5,1,0.9974482,0.017873708,0.017100783,0.0007729251,1.6021912e-06
ISIC_0000116_downsampled,5,5,1,0.9405225,0.23554838,0.22992373,0.005624652,0.00016627806
ISIC_0000117_downsampled,5,5,1,0.914785,0.29425877,0.2847971,0.009461671,0.0004021009
ISIC_0000118_downsampled,5,5,1,0.9053133,0.33780766,0.3345235,0.0032841563,0.00013203037
ISIC_0000119_downsampled,5,4,0,0.7191358,0.5997804,0.5648796,0.034900784,0.0039374395
ISIC_0000120_downsampled,5,5,1,0.57510906,0.6822803,0.6400369,0.04224342,0.0055883112
ISIC_0000121_downsampled,5,5,1,0.9000329,0.3312492,0.31340188,0.01784733,0.0009591704
ISIC_0000122_downsampled,5,5,1,0.9982149,0.013230362,0.012968295,0.00026206672,2.985642e-07
ISIC_0000123_downsampled,5,5,1,0.991472,0.049438294,0.04846759,0.0009707026,4.7711887e-06
ISIC_0000124_downsampled,5,4,0,0.8802275,0.3694746,0.35805675,0.011417836,0.00073931733
ISIC_0000125_downsampled,5,5,1,0.99977833,0.002353786,0.0022710874,8.269865e-05,6.3198287e-09
ISIC_0000126_downsampled,5,4,0,0.94131905,0.24382871,0.23563483,0.00819388,0.00024499942
