image_id,target,pred,correct,confidence,predictive_entropy,expected_entropy,mutual_information,variance
ISIC_0000000,5,5,1,0.91415346,0.31764203,0.31313032,0.004511714,0.00017953086
ISIC_0000001,5,5,1,0.84566873,0.4883741,0.4806985,0.007675618,0.00045415657
ISIC_0000002,4,4,1,0.49826488,1.0585027,1.0425617,0.015941024,0.0014670885
ISIC_0000003,5,5,1,0.89253265,0.38509604,0.38103312,0.004062921,0.00015973875
ISIC_0000004,4,4,1,0.38650596,1.413411,1.3862711,0.027139902,0.0018183448
ISIC_0000006,5,5,1,0.6390852,0.67844456,0.6466706,0.031773984,0.004028485
ISIC_0000007,5,5,1,0.88545215,0.38307163,0.3712142,0.01185742,0.00067135785
ISIC_0000008,5,4,0,0.5552515,0.7618111,0.7454555,0.016355574,0.0021107185
ISIC_0000009,5,5,1,0.76860106,0.69564915,0.6780052,0.017643929,0.0012067587
ISIC_0000010,5,5,1,0.79464746,0.6595181,0.6480958,0.011422336,0.00066383823
ISIC_0000011,5,5,1,0.84722686,0.44990778,0.43947834,0.010429442,0.00075837696
ISIC_0000012,5,2,0,0.89443964,0.39557853,0.39033738,0.0052411556,0.00021954389
ISIC_0000013,4,4,1,0.90081364,0.32712394,0.31718576,0.00993818,0.0005047655
ISIC_0000014,5,5,1,0.44271335,1.0443615,1.0263851,0.017976403,0.0017340742
ISIC_0000015,5,5,1,0.793379,0.62659025,0.6128923,0.013697922,0.00090487156
ISIC_0000016,5,5,1,0.83848816,0.5554815,0.54393786,0.011543632,0.0005521908
ISIC_0000017_downsampled,5,5,1,0.7179867,0.7937111,0.7851493,0.00856185,0.0006293034
ISIC_0000018_downsampled,5,5,1,0.674173,0.7000845,0.6802961,0.019788384,0.002218336
ISIC_0000019_downsampled,5,5,1,0.8575002,0.42361555,0.4104427,0.013172835,0.0008687905
ISIC_0000020_downsampled,5,4,0,0.80914426,0.54392576,0.5344876,0.009438157,0.0006970392
ISIC_0000021_downsampled,5,4,0,0.53444976,0.74530154,0.72099435,0.024307191,0.00325961
ISIC_0000022_downsampled,4,4,1,0.76881677,0.6114787,0.6015267,0.009952009,0.00091768306
ISIC_0000023_downsampled,5,5,1,0.57037574,0.7972701,0.7856931,0.01157701,0.0013584391
ISIC_0000024_downsampled,5,3,0,0.5181707,1.3508465,1.3282758,0.02257073,0.0017468819
ISIC_0000025_downsampled,5,5,1,0.50632894,0.8289086,0.8044815,0.024427116,0.0029652652
ISIC_0000026_downsampled,4,4,1,0.5110107,0.96960115,0.94732153,0.02227962,0.0022842283
ISIC_0000027_downsampled,5,5,1,0.7203792,0.7928023,0.777801,0.015001297,0.0010492121
ISIC_0000028_downsampled,5,5,1,0.86404216,0.45141748,0.44152245,0.009895027,0.0005809891
ISIC_0000029_downsampled,4,4,1,0.96882,0.13936158,0.13642663,0.0029349476,5.212383e-05
ISIC_0000030_downsampled,4,4,1,0.9999603,0.0004819631,0.00047390646,8.056639e-06,1.1488171e-10
ISIC_0000031_downsampled,4,4,1,0.9959554,0.03062605,0.030303871,0.000322178,3.947412e-07
ISIC_0000032_downsampled,5,5,1,0.57475847,0.88152266,0.862073,0.019449651,0.002117256
ISIC_0000034_downsampled,5,5,1,0.4658431,0.9052376,0.8751007,0.030136943,0.0033047816
ISIC_0000035_downsampled,4,5,0,0.6949478,0.8014348,0.7825481,0.018886685,0.0014354239
ISIC_0000036_downsampled,4,4,1,0.9925694,0.04905024,0.04785907,0.0011911727,3.1658103e-06
ISIC_0000037_downsampled,5,5,1,0.5613571,0.7313981,0.710069,0.021329105,0.002799644
ISIC_0000038_downsampled,5,5,1,0.5227854,0.9243629,0.8971717,0.027191222,0.0028975469
ISIC_0000039_downsampled,5,5,1,0.7349525,0.6592125,0.6428515,0.016361058,0.0015546441
ISIC_0000040_downsampled,4,5,0,0.90670127,0.3407873,0.32947597,0.011311322,0.0005393919
ISIC_0000041_downsampled,5,5,1,0.93598354,0.26545987,0.26159275,0.0038671196,0.000109286724
ISIC_0000042_downsampled,5,4,0,0.91793275,0.29109505,0.28407982,0.0070152283,0.0003165727
ISIC_0000043_downsampled,4,2,0,0.80057675,0.6676073,0.654427,0.0131803155,0.0007187278
ISIC_0000044_downsampled,5,5,1,0.6134921,0.7601501,0.7421928,0.01795727,0.0021435514
ISIC_0000045_downsampled,5,5,1,0.9203594,0.30944484,0.30306023,0.006384611,0.0002379578
ISIC_0000046_downsampled,4,5,0,0.8513525,0.5213652,0.5091738,0.012191415,0.00063577265
ISIC_0000047_downsampled,5,5,1,0.8513511,0.4853675,0.47607276,0.009294748,0.00055063516
ISIC_0000048_downsampled,5,4,0,0.51775616,0.8991993,0.8863443,0.012854993,0.001355423
ISIC_0000049_downsampled,4,4,1,0.9525016,0.21628793,0.21108963,0.0051983,0.0001411389
ISIC_0000050_downsampled,5,2,0,0.6514708,0.98518604,0.96836483,0.016821206,0.0011476008
ISIC_0000051_downsampled,5,5,1,0.8220397,0.48765177,0.47780135,0.009850413,0.0007725301
ISIC_0000052_downsampled,5,5,1,0.91499263,0.35495877,0.34936565,0.005593121,0.00016579159
ISIC_0000053_downsampled,5,4,0,0.53378016,0.70968306,0.6804085,0.029274583,0.00405537
ISIC_0000054_downsampled,4,5,0,0.61427915,0.7712528,0.7594011,0.011851728,0.0013415616
ISIC_0000055_downsampled,5,5,1,0.6676225,0.8081174,0.7941474,0.013970017,0.0012949968
